meta.code,th
ที่อยู่อาศัย,ที่อยู่อาศัย
ทึบ,ทึบ
ทุกที่มา,ทุกที่มา
ทุกไฟล์,ทุกไฟล์
ทุกหมวด,ทุกหมวด
"ทุกอย่าง — system prompt, บริบทที่ส่งไป, คำสั่งดิบ, ผลลัพธ์, token, เวลา","ทุกอย่าง — system prompt, บริบทที่ส่งไป, คำสั่งดิบ, ผลลัพธ์, token, เวลา"
ทุกอักขระ,ทุกอักขระ
ทุกอัลบั้ม,ทุกอัลบั้ม
ทุกอารมณ์,ทุกอารมณ์
เทมเพลต,เทมเพลต
เทมเพลต Wiki,เทมเพลต Wiki
เทวนาครี,เทวนาครี
เทียบกับ,เทียบกับ
เทียบกับอีกแผน — ดูว่าทางเลือกต่างกันตรงไหน,เทียบกับอีกแผน — ดูว่าทางเลือกต่างกันตรงไหน
เทียบความยาวฉากกับค่ากลางของทั้งเล่ม ชี้ฉากที่ผิดปกติทั้งสั้นและยาว,เทียบความยาวฉากกับค่ากลางของทั้งเล่ม ชี้ฉากที่ผิดปกติทั้งสั้นและยาว
เทียบเวอร์ชัน — ,เทียบเวอร์ชัน — 
แท็ก: ,แท็ก: 
แท็ก,แท็ก
 แท็ก, แท็ก
แท็ก: {0},แท็ก: {0}
แท็ก: {0} ({1}),แท็ก: {0} ({1})
แท็กของ {0} รูป (คั่นด้วยช่องว่าง · @ = เอนทิตี้ Wiki · ~ = ฉาก),แท็กของ {0} รูป (คั่นด้วยช่องว่าง · @ = เอนทิตี้ Wiki · ~ = ฉาก)
"แท็ก (คั่น , )","แท็ก (คั่น , )"
แท็กปัจจุบัน: {0},แท็กปัจจุบัน: {0}
แท็ก (เว้นวรรค),แท็ก (เว้นวรรค)
แทนที่ ,แทนที่ 
แทรกข้อความต่อเนื่องไม่สำเร็จ: ,แทรกข้อความต่อเนื่องไม่สำเร็จ: 
แทรกในไฟล์แล้ว — ฉากที่เปิดอยู่ยังไม่บันทึก กดบันทึกทับได้เลยถ้าไม่ต้องการ,แทรกในไฟล์แล้ว — ฉากที่เปิดอยู่ยังไม่บันทึก กดบันทึกทับได้เลยถ้าไม่ต้องการ
แทรกรูป: ,แทรกรูป: 
แทรกรูป…,แทรกรูป…
แทรกรูปไม่สำเร็จ: ,แทรกรูปไม่สำเร็จ: 
แทรกรูปแล้ว: ,แทรกรูปแล้ว: 
แทรกลงฉาก,แทรกลงฉาก
แทรกลงท้ายฉากแล้ว,แทรกลงท้ายฉากแล้ว
แทรกเส้นคั่น (---),แทรกเส้นคั่น (---)
แทร็ก/เส้นเรื่อง,แทร็ก/เส้นเรื่อง
แทรกหน้า,แทรกหน้า
โทเค็นแคช,โทเค็นแคช
โทเค็นที่ใช้: ,โทเค็นที่ใช้: 
โทเค็นที่ใช้,โทเค็นที่ใช้
โทเค็นนำเข้า,โทเค็นนำเข้า
โทเค็นแบบใช้เหตุผล,โทเค็นแบบใช้เหตุผล
โทเค็นส่งออก,โทเค็นส่งออก
โทนโดยรวม: ,โทนโดยรวม: 
โทนที่ต้องการ: ,โทนที่ต้องการ: 
ไทม์ไลน์ว่าทำอะไรกับไฟล์ในโปรเจกต์ไปบ้าง แล้วย้อนกลับไปจุดไหนก็ได้ · จำนวนครั้งที่เก็บตั้งได้ที่ ตั้งค่า → ทั่วไป (ค่าเริ่มต้น 32),ไทม์ไลน์ว่าทำอะไรกับไฟล์ในโปรเจกต์ไปบ้าง แล้วย้อนกลับไปจุดไหนก็ได้ · จำนวนครั้งที่เก็บตั้งได้ที่ ตั้งค่า → ทั่วไป (ค่าเริ่มต้น 32)
ไทย,ไทย
ธรรมเนียมบท: หน้าแรกไม่ใส่,ธรรมเนียมบท: หน้าแรกไม่ใส่
ธีม,ธีม
ธีมมืด — คลิกเพื่อไปธีมสว่าง (Ctrl+Shift+P),ธีมมืด — คลิกเพื่อไปธีมสว่าง (Ctrl+Shift+P)
ธีม: มืด (Dark),ธีม: มืด (Dark)
ธีมสว่าง — คลิกเพื่อไปธีมมืด (Ctrl+Shift+P),ธีมสว่าง — คลิกเพื่อไปธีมมืด (Ctrl+Shift+P)
ธีม: สว่าง / มืด ({0}+{1}+P),ธีม: สว่าง / มืด ({0}+{1}+P)
ธีม: สว่าง (Light),ธีม: สว่าง (Light)
น้อย,น้อย
นักบวช/ผู้นำ,นักบวช/ผู้นำ
นับหน้านิยายไม่สำเร็จ,นับหน้านิยายไม่สำเร็จ
นับหน้าบทไม่สำเร็จ,นับหน้าบทไม่สำเร็จ
น่าจะสะกดผิด: ,น่าจะสะกดผิด: 
นาที,นาที
 นาที, นาที
นาทีรวม,นาทีรวม
นามสกุลไฟล์,นามสกุลไฟล์
นำเข้า-,นำเข้า-
นำเข้า {0}/{1} ไฟล์…,นำเข้า {0}/{1} ไฟล์…
นำเข้า {0} คีย์ · ภาษา {1} · เพิ่ม/แก้ {2},นำเข้า {0} คีย์ · ภาษา {1} · เพิ่ม/แก้ {2}
นำเข้าจาก: ,นำเข้าจาก: 
นำเข้าจาก Scrivener (.scriv)…,นำเข้าจาก Scrivener (.scriv)…
นำเข้าบทภาพยนตร์ (,นำเข้าบทภาพยนตร์ (
นำเข้าบทภาพยนตร์… (Fountain · FDX · Celtx · Fade In · Adobe Story),นำเข้าบทภาพยนตร์… (Fountain · FDX · Celtx · Fade In · Adobe Story)
นำเข้าโปรเจกต์จากไฟล์ .zip,นำเข้าโปรเจกต์จากไฟล์ .zip
นำเข้าโปรเจกต์แล้ว ({0} ไฟล์): ,นำเข้าโปรเจกต์แล้ว ({0} ไฟล์): 
นำเข้าฟอนต์ ,นำเข้าฟอนต์ 
นำเข้าฟอนต์ไม่สำเร็จ,นำเข้าฟอนต์ไม่สำเร็จ
นำเข้าฟอนต์ล้มเหลว,นำเข้าฟอนต์ล้มเหลว
นำเข้าไฟล์สถานะไม่สำเร็จ (ไฟล์ไม่ใช่ JSON ที่ถูกต้อง),นำเข้าไฟล์สถานะไม่สำเร็จ (ไฟล์ไม่ใช่ JSON ที่ถูกต้อง)
นำเข้าไม่สำเร็จ: ,นำเข้าไม่สำเร็จ: 
นำเข้าไม่สำเร็จ: ยังไม่มีเล่ม/ฉบับร่างที่ใช้งานอยู่,นำเข้าไม่สำเร็จ: ยังไม่มีเล่ม/ฉบับร่างที่ใช้งานอยู่
นำเข้าสถานะใหม่ {0} รายการ,นำเข้าสถานะใหม่ {0} รายการ
นำเข้าเสร็จ {0} ไฟล์ → {1},นำเข้าเสร็จ {0} ไฟล์ → {1}
นำเข้า ZIP ล้มเหลว: ,นำเข้า ZIP ล้มเหลว: 
นำเนื้อหาเข้านิยายหรือบทภาพยนตร์ที่เปิดอยู่?,นำเนื้อหาเข้านิยายหรือบทภาพยนตร์ที่เปิดอยู่?
น้ำเสียง,น้ำเสียง
นิยาย,นิยาย
 นิยาย, นิยาย
 นิยาย ▾, นิยาย ▾
"นิยายแฟนตาซี — worldbuilding, เผ่าพันธุ์, เวทมนตร์","นิยายแฟนตาซี — worldbuilding, เผ่าพันธุ์, เวทมนตร์"
"นิยายสืบสวน — ตัวละคร suspects, clues, timeline","นิยายสืบสวน — ตัวละคร suspects, clues, timeline"
นิสัย,นิสัย
นิสัยและปฏิกิริยา,นิสัยและปฏิกิริยา
เนื้อความ,เนื้อความ
เนื้อหา,เนื้อหา
เนื้อหา 2-4 ประโยค,เนื้อหา 2-4 ประโยค
" (เนื้อหายังไม่เปลี่ยน — กด ""สรุปใหม่"" ถ้าต้องการให้ AI คิดใหม่)"," (เนื้อหายังไม่เปลี่ยน — กด ""สรุปใหม่"" ถ้าต้องการให้ AI คิดใหม่)"
แนบสถานะ/จำนวนคำของฉาก (สำหรับ บ.ก.),แนบสถานะ/จำนวนคำของฉาก (สำหรับ บ.ก.)
"แนวคิดของ Explorer, บทภาพยนตร์, เวิร์กโฟลว์ส่งออก และกระดานวางแผน","แนวคิดของ Explorer, บทภาพยนตร์, เวิร์กโฟลว์ส่งออก และกระดานวางแผน"
แนวทางโทน: ,แนวทางโทน: 
 (แนะนำ), (แนะนำ)
แนะนำชื่อ{0} (ภาษาไทย) สำหรับนิยาย/บทภาพยนตร์ 5-10 ชื่อ ,แนะนำชื่อ{0} (ภาษาไทย) สำหรับนิยาย/บทภาพยนตร์ 5-10 ชื่อ 
แนะนำชื่อเรื่อง…,แนะนำชื่อเรื่อง…
โน้ต: ,โน้ต: 
โน้ต,โน้ต
 โน้ต, โน้ต
โน้ตของบท,โน้ตของบท
โน้ตด่วน…,โน้ตด่วน…
โน้ตในบท — ไม่ถูกรวมตอนส่งออกฉบับร่าง,โน้ตในบท — ไม่ถูกรวมตอนส่งออกฉบับร่าง
โน้ตสำหรับนักเขียน — แสดงเฉพาะที่นี่และ Planner ไม่แสดงในฉากปกติ,โน้ตสำหรับนักเขียน — แสดงเฉพาะที่นี่และ Planner ไม่แสดงในฉากปกติ
โน้ตใหม่,โน้ตใหม่
(ในกล่อง),(ในกล่อง)
บท: ,บท: 
บท,บท
 บท), บท)
- บท: {0},- บท: {0}
บท “{0}” · {1} หน้า — ,บท “{0}” · {1} หน้า — 
บท “{0}” · {1} หน้า — จะได้ไฟล์ละคน ลายน้ำต่างกัน,บท “{0}” · {1} หน้า — จะได้ไฟล์ละคน ลายน้ำต่างกัน
บทโดย,บทโดย
บทที่สอง,บทที่สอง
บทที่หนึ่ง,บทที่หนึ่ง
บทที่ {{n}},บทที่ {{n}}
บทนำ,บทนำ
"บทนี้มีฉาก ""{0}"" อยู่แล้ว","บทนี้มีฉาก ""{0}"" อยู่แล้ว"
บทนี้ยังไม่มี element ที่มีเนื้อหาให้ลบ,บทนี้ยังไม่มี element ที่มีเนื้อหาให้ลบ
บทบาท,บทบาท
บทพูด,บทพูด
บทพูด: ,บทพูด: 
บทพูดกำพร้า — ไม่มีชื่อตัวละครนำหน้า,บทพูดกำพร้า — ไม่มีชื่อตัวละครนำหน้า
บทภาพยนตร์,บทภาพยนตร์
"บทภาพยนตร์ทุกฟอร์แมต (Fountain, FDX, Celtx, Adobe Story, Fade In Pro)","บทภาพยนตร์ทุกฟอร์แมต (Fountain, FDX, Celtx, Adobe Story, Fade In Pro)"
บทภาพยนตร์: แทรก (CONTINUED)/(MORE) ตามการตัดหน้า,บทภาพยนตร์: แทรก (CONTINUED)/(MORE) ตามการตัดหน้า
บทภาพยนตร์: ไม่รวม element ตามประเภท,บทภาพยนตร์: ไม่รวม element ตามประเภท
บทแรกยังไม่มีฉาก,บทแรกยังไม่มีฉาก
บทสนทนา + ความคิดของโมเดล (ถ้าเจ้านั้นส่งกลับมา) + คำสั่งที่สั่งทำ,บทสนทนา + ความคิดของโมเดล (ถ้าเจ้านั้นส่งกลับมา) + คำสั่งที่สั่งทำ
บทสรุป,บทสรุป
บทหนัง,บทหนัง
 บทหนัง, บทหนัง
 บทหนัง ▾, บทหนัง ▾
บท/หัวข้อ,บท/หัวข้อ
บทใหม่,บทใหม่
บน,บน
""" บนแผนที่ ",""" บนแผนที่ "
บน-ล่าง,บน-ล่าง
บรรทัด,บรรทัด
 บรรทัด/หน้า, บรรทัด/หน้า
บรรยากาศหม่น กดดัน ใช้ภาพพจน์หนักแน่น,บรรยากาศหม่น กดดัน ใช้ภาพพจน์หนักแน่น
บรรยาย,บรรยาย
บรรยายละเอียด,บรรยายละเอียด
"### บริบท
","### บริบท
"
### บริบทของฉาก,### บริบทของฉาก
### บริบทของเรื่อง,### บริบทของเรื่อง
"### บริบทจากโปรเจกต์
","### บริบทจากโปรเจกต์
"
"

บริบท/เนื้อหาย่อ:
{0}","

บริบท/เนื้อหาย่อ:
{0}"
 บล็อก, บล็อก
บล็อกโค้ด,บล็อกโค้ด
บอก,บอก
บังคับตัวพิมพ์ใหญ่,บังคับตัวพิมพ์ใหญ่
บังคับตัวพิมพ์ใหญ่เฉพาะชนิด,บังคับตัวพิมพ์ใหญ่เฉพาะชนิด
บังคับพิมพ์ใหญ่ตามรูปแบบบทมาตรฐาน,บังคับพิมพ์ใหญ่ตามรูปแบบบทมาตรฐาน
บังคับพิมพ์ใหญ่ตามรูปแบบบทมาตรฐาน (หัวฉาก · ชื่อตัวละคร · ทรานซิชัน),บังคับพิมพ์ใหญ่ตามรูปแบบบทมาตรฐาน (หัวฉาก · ชื่อตัวละคร · ทรานซิชัน)
บันทึก,บันทึก
บันทึก ({0}+S),บันทึก ({0}+S)
บันทึก {0}/{1} รายการ,บันทึก {0}/{1} รายการ
บันทึกกระดานไม่สำเร็จ,บันทึกกระดานไม่สำเร็จ
บันทึกการตั้งค่าล้มเหลว,บันทึกการตั้งค่าล้มเหลว
บันทึกการตั้งค่า AI แล้ว,บันทึกการตั้งค่า AI แล้ว
บันทึกการตัดสินใจ: ,บันทึกการตัดสินใจ: 
บันทึกการทำงานของโปรแกรม — ใช้ตอนหาสาเหตุเมื่อมีอะไรไม่เป็นอย่างที่คาด,บันทึกการทำงานของโปรแกรม — ใช้ตอนหาสาเหตุเมื่อมีอะไรไม่เป็นอย่างที่คาด
บันทึกการทำงานของโปรแกรม (Log)…,บันทึกการทำงานของโปรแกรม (Log)…
บันทึกการเปลี่ยนแปลง (Changelog),บันทึกการเปลี่ยนแปลง (Changelog)
บันทึกขนาด UI ไม่สำเร็จ,บันทึกขนาด UI ไม่สำเร็จ
บันทึกครบ {0} รายการ แล้วปิดโปรแกรม,บันทึกครบ {0} รายการ แล้วปิดโปรแกรม
บันทึกคำบรรยายแล้ว,บันทึกคำบรรยายแล้ว
บันทึกคุณสมบัติฉากแล้ว,บันทึกคุณสมบัติฉากแล้ว
บันทึกคุณสมบัติบทแล้ว: ,บันทึกคุณสมบัติบทแล้ว: 
บันทึกคุณสมบัติแผนแล้ว,บันทึกคุณสมบัติแผนแล้ว
บันทึกคุณสมบัติเล่มแล้ว: ,บันทึกคุณสมบัติเล่มแล้ว: 
บันทึกงานสัก 2 วันแล้วกราฟคำรายวันจะขึ้นที่นี่,บันทึกงานสัก 2 วันแล้วกราฟคำรายวันจะขึ้นที่นี่
บันทึกชุดสถานะ + สี เป็นไฟล์ .json เพื่อนำไปใช้กับโปรเจกต์อื่น,บันทึกชุดสถานะ + สี เป็นไฟล์ .json เพื่อนำไปใช้กับโปรเจกต์อื่น
บันทึกทั้งหมด,บันทึกทั้งหมด
บันทึกทั้งหมด ({0}+{1}+S),บันทึกทั้งหมด ({0}+{1}+S)
บันทึกทั้งหมดแล้ว ({0} รายการ),บันทึกทั้งหมดแล้ว ({0} รายการ)
บันทึกทั้งหมดแล้วปิด,บันทึกทั้งหมดแล้วปิด
บันทึกที่เลือก ({0}),บันทึกที่เลือก ({0})
บันทึกเทมเพลตแล้ว,บันทึกเทมเพลตแล้ว
บันทึกแท็กแล้ว,บันทึกแท็กแล้ว
บันทึกโน้ตแล้ว,บันทึกโน้ตแล้ว
บันทึกโน้ตไว้ทำภายหลังแล้ว,บันทึกโน้ตไว้ทำภายหลังแล้ว
บันทึกเป็น…,บันทึกเป็น…
บันทึกเป็นกระดานชื่อ,บันทึกเป็นกระดานชื่อ
"บันทึกเป็นแผน ""","บันทึกเป็นแผน """
บันทึกเป็นแผนใหม่ (ก๊อปการจัดวางปัจจุบันไปเป็นอีกแผน),บันทึกเป็นแผนใหม่ (ก๊อปการจัดวางปัจจุบันไปเป็นอีกแผน)
บันทึกเป็นไม่สำเร็จ,บันทึกเป็นไม่สำเร็จ
บันทึกผู้ให้บริการ,บันทึกผู้ให้บริการ
"บันทึกแผน ""","บันทึกแผน """
บันทึกแผนที่เปิดอยู่,บันทึกแผนที่เปิดอยู่
บันทึกแผนที่พร้อมหมุด/เส้นทางเป็นรูปลงคลังรูป,บันทึกแผนที่พร้อมหมุด/เส้นทางเป็นรูปลงคลังรูป
บันทึกไม่สำเร็จ,บันทึกไม่สำเร็จ
บันทึกไม่สำเร็จ {0} รายการ — ยังไม่ปิดโปรแกรม (ดูรายละเอียดในแผงบันทึก),บันทึกไม่สำเร็จ {0} รายการ — ยังไม่ปิดโปรแกรม (ดูรายละเอียดในแผงบันทึก)
บันทึกรายงานแล้ว: ,บันทึกรายงานแล้ว: 
บันทึกรูปผังลงคลังรูปแล้ว: ,บันทึกรูปผังลงคลังรูปแล้ว: 
 บันทึกแล้ว, บันทึกแล้ว
บันทึกแล้ว: ,บันทึกแล้ว: 
บันทึกแล้วออก,บันทึกแล้วออก
บันทึกเวอร์ชัน,บันทึกเวอร์ชัน
 บันทึกเวอร์ชัน, บันทึกเวอร์ชัน
บันทึกเวอร์ชันนี้ไว้ (ตั้งชื่อได้),บันทึกเวอร์ชันนี้ไว้ (ตั้งชื่อได้)
บันทึกเวอร์ชันแล้ว,บันทึกเวอร์ชันแล้ว
บันทึกเวอร์ชันหน้า Wiki แล้ว,บันทึกเวอร์ชันหน้า Wiki แล้ว
บันทึกหน้าปก,บันทึกหน้าปก
บันทึกหน้าปกแล้ว — ,บันทึกหน้าปกแล้ว — 
บันทึกหน้ารายชื่อตัวละครแล้ว,บันทึกหน้ารายชื่อตัวละครแล้ว
บันทึกอัตโนมัติ,บันทึกอัตโนมัติ
 บันทึก (Ctrl+S), บันทึก (Ctrl+S)
บันทึก global settings ไม่สำเร็จ,บันทึก global settings ไม่สำเร็จ
บันทึก (Log),บันทึก (Log)
บันทึก openTabs ไม่สำเร็จ,บันทึก openTabs ไม่สำเร็จ
บุคลิก,บุคลิก
เบิกบาน,เบิกบาน
ปก,ปก
ปกติ,ปกติ
ปกติ (หน้ากระดาษ),ปกติ (หน้ากระดาษ)
ปมที่ทิ้งค้าง,ปมที่ทิ้งค้าง
ปมที่เอาไปเขียนต่อได้,ปมที่เอาไปเขียนต่อได้
ประ,ประ
ประกอบ,ประกอบ
ประชากร,ประชากร
ประเด็นที่ต้องดู:,ประเด็นที่ต้องดู:
ประตูไปแผนที่,ประตูไปแผนที่
ประตูไปแผนที่อื่น,ประตูไปแผนที่อื่น
ประเพณีและเทศกาล,ประเพณีและเทศกาล
ประเภท,ประเภท
ประเภท: ,ประเภท: 
ประเภทที่ตัดออก (คั่นด้วยจุลภาค: ,ประเภทที่ตัดออก (คั่นด้วยจุลภาค: 
ประมาณเวลาอ่าน / จำนวนหน้าบท,ประมาณเวลาอ่าน / จำนวนหน้าบท
ประโยคสั้น กระชับ เร่งจังหวะให้ตึงเครียด,ประโยคสั้น กระชับ เร่งจังหวะให้ตึงเครียด
ประวัติ,ประวัติ
ประวัติการตัดสินใจ…,ประวัติการตัดสินใจ…
"ประวัติจดเฉพาะ ""การเปลี่ยนแปลงที่ลงไฟล์แล้ว"" — การพิมพ์ที่ยังไม่บันทึกใช้ Ctrl+Z ตามปกติ ","ประวัติจดเฉพาะ ""การเปลี่ยนแปลงที่ลงไฟล์แล้ว"" — การพิมพ์ที่ยังไม่บันทึกใช้ Ctrl+Z ตามปกติ "
 ประวัติเวอร์ชัน…, ประวัติเวอร์ชัน…
 ประวัติเวอร์ชัน, ประวัติเวอร์ชัน
· ปรับจำนวนครั้งที่เก็บได้ที่ ตั้งค่า → ทั่วไป,· ปรับจำนวนครั้งที่เก็บได้ที่ ตั้งค่า → ทั่วไป
ปรับทุกชิ้นให้ตรงสัดส่วนรูปแล้ว,ปรับทุกชิ้นให้ตรงสัดส่วนรูปแล้ว
ปรากฏใน,ปรากฏใน
ปรากฏร่วม,ปรากฏร่วม
ปรากฏร่วมในฉาก,ปรากฏร่วมในฉาก
ปราศจากเสียง,ปราศจากเสียง
ปริปาก,ปริปาก
ปลดล็อก,ปลดล็อก
ปลดล็อกเต็มที่ (ทำได้ทุกอย่าง),ปลดล็อกเต็มที่ (ทำได้ทุกอย่าง)
ปลดหมุดทุกโหนด แล้วจัดผังใหม่,ปลดหมุดทุกโหนด แล้วจัดผังใหม่
ปลั๊กอิน,ปลั๊กอิน
ปลั๊กอิน ,ปลั๊กอิน 
ปลั๊กอิน: ,ปลั๊กอิน: 
ปลาบปลื้ม,ปลาบปลื้ม
ปลายทางตอบกลับแล้ว แต่ไม่มีรายชื่อโมเดลในคำตอบ,ปลายทางตอบกลับแล้ว แต่ไม่มีรายชื่อโมเดลในคำตอบ
ปลายทางมีอัลบั้มชื่อนี้อยู่แล้ว,ปลายทางมีอัลบั้มชื่อนี้อยู่แล้ว
"ปักตำแหน่งฉาก ""","ปักตำแหน่งฉาก """
ปักหมุด,ปักหมุด
 (ปัจจุบัน), (ปัจจุบัน)
ปัจจุบัน (บนดิสก์),ปัจจุบัน (บนดิสก์)
ปัญหาที่เมืองนี้เผชิญ,ปัญหาที่เมืองนี้เผชิญ
ปานกลาง (1 ย่อหน้า),ปานกลาง (1 ย่อหน้า)
ป้ายกำกับ,ป้ายกำกับ
ป้ายกำกับเส้นเชื่อม,ป้ายกำกับเส้นเชื่อม
ป้ายชื่อ,ป้ายชื่อ
ป้ายชื่อ (ไทย),ป้ายชื่อ (ไทย)
ป้ายนี้ใช้กับบทภาพยนตร์ — เปิดฉากที่เป็นบทก่อน,ป้ายนี้ใช้กับบทภาพยนตร์ — เปิดฉากที่เป็นบทก่อน
ปิด,ปิด
ปิด = ข้ามหน้านี้ตอนพิมพ์และตอนส่งออก,ปิด = ข้ามหน้านี้ตอนพิมพ์และตอนส่งออก
ปิดกระดาน,ปิดกระดาน
ปิด — กลับไปที่เซสชัน,ปิด — กลับไปที่เซสชัน
ปิดการถาม,ปิดการถาม
"ปิดการถามก่อนลบ?

AI จะลบเล่ม/บท/ฉาก/เอนทิตี้ได้เองทันทีโดยไม่ถามคุณอีก
","ปิดการถามก่อนลบ?

AI จะลบเล่ม/บท/ฉาก/เอนทิตี้ได้เองทันทีโดยไม่ถามคุณอีก
"
ปิดโดยไม่บันทึก,ปิดโดยไม่บันทึก
ปิดทุกแท็บ ({0}+{1}+W),ปิดทุกแท็บ ({0}+{1}+W)
ปิดแท็บ ({0}+W),ปิดแท็บ ({0}+W)
ปิดแท็บนี้,ปิดแท็บนี้
ปิดโปรแกรม — มี {0} รายการที่ยังไม่ได้บันทึก,ปิดโปรแกรม — มี {0} รายการที่ยังไม่ได้บันทึก
ปิดแผง,ปิดแผง
ปิดแผงที่เปิดอยู่,ปิดแผงที่เปิดอยู่
ปิด (พิมพ์อย่างไรก็เป็นอย่างนั้น),ปิด (พิมพ์อย่างไรก็เป็นอย่างนั้น)
ปิดไว้หลังเคยพัง,ปิดไว้หลังเคยพัง
ปิดหน้าแรก,ปิดหน้าแรก
ปิดหัวกระดาษแล้ว,ปิดหัวกระดาษแล้ว
ปีติ,ปีติ
ปุ่มกลาง (ล้อ),ปุ่มกลาง (ล้อ)
ปุ่มจัดรูปแบบและสวิตช์โหมดทั้งหมด — ตัวหนา/เอียง · จัดหน้า · โหมดอ่าน/โฟกัส · เปิด-ปิดแผงอื่น,ปุ่มจัดรูปแบบและสวิตช์โหมดทั้งหมด — ตัวหนา/เอียง · จัดหน้า · โหมดอ่าน/โฟกัส · เปิด-ปิดแผงอื่น
ปุ่มลอยมุมขวาล่าง (FAB),ปุ่มลอยมุมขวาล่าง (FAB)
ปุ่มลอย (FAB): ปิด,ปุ่มลอย (FAB): ปิด
ปุ่มลอย (FAB): เปิด,ปุ่มลอย (FAB): เปิด
ปุ่มส่งข้อความในแชท,ปุ่มส่งข้อความในแชท
ปุ่มส่งตั้งได้ที่ ไฟล์ → ตั้งค่า AI,ปุ่มส่งตั้งได้ที่ ไฟล์ → ตั้งค่า AI
เป็นทางเลือกแต่ไม่มีข้อความในฉาก,เป็นทางเลือกแต่ไม่มีข้อความในฉาก
""" เป็นแท็บแล้ว",""" เป็นแท็บแล้ว"
""" เป็นหน้าต่างลอยแล้ว (ดับเบิลคลิกหัวหน้าต่าง = คืนเป็นแท็บ)",""" เป็นหน้าต่างลอยแล้ว (ดับเบิลคลิกหัวหน้าต่าง = คืนเป็นแท็บ)"
เปรย,เปรย
เปลี่ยน,เปลี่ยน
เปลี่ยนชื่อ…,เปลี่ยนชื่อ…
 เปลี่ยนชื่อ, เปลี่ยนชื่อ
เปลี่ยนชื่อกระดาน,เปลี่ยนชื่อกระดาน
เปลี่ยนชื่อฉาก,เปลี่ยนชื่อฉาก
"เปลี่ยนชื่อฉาก ""{0}"" → ""{1}""","เปลี่ยนชื่อฉาก ""{0}"" → ""{1}"""
"เปลี่ยนชื่อฉากเป็น ""{0}"" แล้ว","เปลี่ยนชื่อฉากเป็น ""{0}"" แล้ว"
เปลี่ยนชื่อแท็ก ,เปลี่ยนชื่อแท็ก 
เปลี่ยนชื่อแท็กแล้ว,เปลี่ยนชื่อแท็กแล้ว
เปลี่ยนชื่อบท,เปลี่ยนชื่อบท
เปลี่ยนชื่อบท…,เปลี่ยนชื่อบท…
"เปลี่ยนชื่อบท ""{0}"" → ""{1}""","เปลี่ยนชื่อบท ""{0}"" → ""{1}"""
"เปลี่ยนชื่อบทเป็น ""{0}"" แล้ว (โฟลเดอร์คงชื่อเดิมไว้ ลิงก์ในต้นฉบับจึงไม่พัง)","เปลี่ยนชื่อบทเป็น ""{0}"" แล้ว (โฟลเดอร์คงชื่อเดิมไว้ ลิงก์ในต้นฉบับจึงไม่พัง)"
"เปลี่ยนชื่อเป็น ""","เปลี่ยนชื่อเป็น """
เปลี่ยนชื่อแผนที่แล้ว,เปลี่ยนชื่อแผนที่แล้ว
เปลี่ยนชื่อแผนแล้ว,เปลี่ยนชื่อแผนแล้ว
เปลี่ยนชื่อไม่สำเร็จ: ,เปลี่ยนชื่อไม่สำเร็จ: 
เปลี่ยนชื่อร่าง,เปลี่ยนชื่อร่าง
เปลี่ยนชื่อเรื่องเป็น: ,เปลี่ยนชื่อเรื่องเป็น: 
เปลี่ยนชื่อเล่มเป็น: ,เปลี่ยนชื่อเล่มเป็น: 
เปลี่ยนชื่อเล่มแล้ว,เปลี่ยนชื่อเล่มแล้ว
เปลี่ยนชื่อเส้นทาง,เปลี่ยนชื่อเส้นทาง
เปลี่ยนชื่ออัลบั้มแล้ว: ,เปลี่ยนชื่ออัลบั้มแล้ว: 
 เปลี่ยนเทมเพลต, เปลี่ยนเทมเพลต
"เปลี่ยนเทมเพลตเป็น ""","เปลี่ยนเทมเพลตเป็น """
เปลี่ยนเทมเพลตและเพิ่มช่องข้อมูลใหม่จากเทมเพลต (ไม่ลบข้อมูลเดิม),เปลี่ยนเทมเพลตและเพิ่มช่องข้อมูลใหม่จากเทมเพลต (ไม่ลบข้อมูลเดิม)
"เปลี่ยนโทนของข้อความต่อไปนี้ให้เป็นแบบ ""","เปลี่ยนโทนของข้อความต่อไปนี้ให้เป็นแบบ """
เปลี่ยนปลายทางแล้ว,เปลี่ยนปลายทางแล้ว
เปลี่ยนแปลง,เปลี่ยนแปลง
เปลี่ยนภาษาแล้ว — เริ่มโปรแกรมใหม่เพื่อให้เปลี่ยนครบทุกจุดไหม,เปลี่ยนภาษาแล้ว — เริ่มโปรแกรมใหม่เพื่อให้เปลี่ยนครบทุกจุดไหม
เปลี่ยนรูปตัวพิมพ์: ,เปลี่ยนรูปตัวพิมพ์: 
เปลี่ยนรูปตัวพิมพ์: {0} — ปลดบังคับตัวพิมพ์ใหญ่ของ ,เปลี่ยนรูปตัวพิมพ์: {0} — ปลดบังคับตัวพิมพ์ใหญ่ของ 
เปลี่ยนสีการ์ดแล้ว,เปลี่ยนสีการ์ดแล้ว
เปลี่ยนสีของสถานะนี้,เปลี่ยนสีของสถานะนี้
เปลี่ยนสีเส้น,เปลี่ยนสีเส้น
เปลี่ยนสีเส้นแล้ว,เปลี่ยนสีเส้นแล้ว
 เปลี่ยนไอคอน/ชื่อที่แสดง, เปลี่ยนไอคอน/ชื่อที่แสดง
เป้าหมาย,เป้าหมาย
เป้าหมาย: {0} / {1} คำ ({2}%),เป้าหมาย: {0} / {1} คำ ({2}%)
