meta.code,en
ui.galleryAi.aICantSendCaption,The AI did not send back a caption
ui.galleryAi.aICantSendTag,The AI did not send back any tags
ui.galleryAi.aISetCaptionFail,AI captioning failed: 
ui.galleryAi.aISetCaptionImage,AI captioned {0} {0|image|images}
ui.galleryAi.aISuggestTagFail,AI tag suggestion failed: 
ui.galleryAi.aISuggestTagImage,AI suggested tags for {0} {0|image|images}
ui.galleryAi.album,In album: {0}
ui.galleryAi.captionCurrent,Current caption: {0}
ui.galleryAi.forbidExplainAddReply,Do not explain anything — answer only with the line of tags
ui.galleryAi.galleryAiVisionFail,gallery-ai: vision failed
ui.galleryAi.galleryAiVisionUse,gallery-ai: vision unavailable → falling back to text
ui.galleryAi.imagePickHasCaption,The selected images already have captions (delete the existing caption first if you want to overwrite it)
ui.galleryAi.nameFile,File name: {0}
ui.galleryAi.nameHasCodexStory,"

Names in the story's encyclopedia (use @ if one matches): {0}"
ui.galleryAi.notTagUsePage,At most 5 tags · prefix general tags with # and prefix character/location names with @ only when you are really sure 
ui.galleryAi.replyThaiShortNot,"Answer briefly in English, at most 12 words on one line, with no quotation marks or other explanation"
ui.galleryAi.setCaptionShortImage,"Write a short caption for this image

{0}"
ui.galleryAi.setCaptionShortImage2,"Write a short caption for an image in the image library, guessing from the information available (do not invent details without evidence)

{0}"
ui.galleryAi.setTagImage,"Tag this image

{0}{1}"
ui.galleryAi.tagCurrent,Current tags: {0}
ui.galleryAi.useScene,Used in scenes: 
ui.galleryAi.youHelpSetCaption,You help write image captions for a novelist's/screenwriter's image library. 
ui.galleryAi.youHelpSetTag,You help tag images in a writer's image library. Answer with a list of tags separated by spaces. 
ui.galleryAlbum.countUsage,Usage count
ui.galleryAlbum.dateAddNewLast,Date added (newest first)
ui.galleryAlbum.delAlbumCant,The root album cannot be deleted
ui.galleryAlbum.hasAlbumName,An album with this name already exists
ui.galleryAlbum.moveAlbumCant,The root album cannot be moved
ui.galleryAlbum.moveInAlbumItem,An album cannot be moved into its own sub-album
ui.galleryAlbum.nameAlbumUseCant,This album name cannot be used
ui.galleryAlbum.nameNotValid,Invalid name
ui.galleryAlbum.notFoundAlbum,Album not found
ui.galleryAlbum.notGroup,Ungrouped
ui.galleryAlbum.orderArrange,Custom order
ui.galleryAlbum.sizeFileBigLast,File size (largest first)
ui.galleryAlbum.toHasAlbumName,The destination already has an album with this name
ui.galleryExport.album,Album: {0}
ui.galleryExport.boardEmptyNotHas,The board is empty — nothing to export
ui.galleryExport.busyCollectImage,Collecting images… ({0}/{1})
ui.galleryExport.busyCollectImageItem,Collecting {0} {0|image|images}…
ui.galleryExport.busyDrawBoardMood,Drawing the mood board…
ui.galleryExport.busyWriteFile,Compressing and writing the file…
ui.galleryExport.busyWriteFileImage,Writing the image file…
ui.galleryExport.caption,Caption: {0}
ui.galleryExport.exportBoardFail,Board export failed: 
ui.galleryExport.exportBoardHtmlDone,Board exported as HTML: {0}
ui.galleryExport.exportBoardMoodDone,Exported the mood board ({0}×{1}): 
ui.galleryExport.exportImageFail,Image export failed: 
ui.galleryExport.exportImageItemDone,Exported {0} {0|image|images}: 
ui.galleryExport.galleryExportSkipFile,gallery-export: skipped file 
ui.galleryExport.imageAllItem,{0} {0|image|images} in total
ui.galleryExport.libraryImage,Image library
ui.galleryExport.listImageMd,image-list.md
ui.galleryExport.notHasImageExport,No images to export
ui.galleryExport.tag,Tags: {0}
ui.galleryMoodboard.addRef,Reference
ui.galleryMoodboard.addRefTip,Add a reference card (web link/text) — or drop a link from your browser
ui.galleryMoodboard.adjustAllItemAt,Fitted every piece to its image's proportions
ui.galleryMoodboard.adjustAllItemAt2,Fit every piece to its image's proportions
ui.galleryMoodboard.adjustAtRatioImage,Fit to the image's proportions
ui.galleryMoodboard.arrangeAuto,Arrange automatically
ui.galleryMoodboard.boardAlbum,Board of which album
ui.galleryMoodboard.boardEmptyOpenPanel,The board is empty — open the Image library panel alongside and drag pictures here 
ui.galleryMoodboard.bottomLast,Send to back
ui.galleryMoodboard.cardChapter,Chapter
ui.galleryMoodboard.cardEdit,Edit card…
ui.galleryMoodboard.cardEntity,Wiki page
ui.galleryMoodboard.cardMemo,Note
ui.galleryMoodboard.cardMissing,This card's file is gone (moved or deleted)
ui.galleryMoodboard.cardOpen,Open
ui.galleryMoodboard.cardRef,Reference
ui.galleryMoodboard.cardRemove,Remove from the board
ui.galleryMoodboard.cardsAdded,Placed {0} {0|card|cards} on the board
ui.galleryMoodboard.cardScene,Scene
ui.galleryMoodboard.cardTip,Double-click = open · drag = move · bottom-right corner = resize
ui.galleryMoodboard.clearBoardMoodAlbum,Clear this album's mood board? (image files are not deleted)
ui.galleryMoodboard.clearBoardNotDel,Clear the board (files not deleted)
ui.galleryMoodboard.cmdAddFillBoard,More board commands
ui.galleryMoodboard.dropFail,Drop onto the board
ui.galleryMoodboard.exitBoardNotDel,Remove from the board (file not deleted)
ui.galleryMoodboard.export,Export
ui.galleryMoodboard.exportBoardImage,Export the board as an image…
ui.galleryMoodboard.exportHtml,HTML page (images embedded · links clickable)
ui.galleryMoodboard.exportPng,PNG image
ui.galleryMoodboard.exportTip,Export the whole board as a PNG image or an HTML page
ui.galleryMoodboard.fitTip,Zoom to show every item on the board
ui.galleryMoodboard.imageOutside,That image is outside the project's gallery — import it first
ui.galleryMoodboard.pasteImageTopBoard,"Placed {0} {0|image|images} on board ""{1}"""
ui.galleryMoodboard.pickImageLibraryDone,"(or select images in the library and press ""Place on the board"")"
ui.galleryMoodboard.refEdit,Edit reference card
ui.galleryMoodboard.refNew,New reference card
ui.galleryMoodboard.refText,Text
ui.galleryMoodboard.refTextPh,"A note, quote or detail to remember"
ui.galleryMoodboard.refTitle,Title
ui.galleryMoodboard.refTitlePh,e.g. Victorian costume
ui.galleryMoodboard.refUrl,Link
ui.galleryMoodboard.refUrlPh,https://… (optional)
ui.galleryMoodboard.top,Bring to front
ui.galleryUsageIndex.msg, +{0} more
ui.galleryUsageIndex.useDone,Used
ui.histOry.addImage,Added images
ui.histOry.adjustCountTimesKeep,· Change how many are kept at Settings → Project info
ui.histOry.beforePageAllKeep,Everything earlier that was kept
ui.histOry.change,Changes
ui.histOry.clearHistory,Clear history
ui.histOry.clearHistoryAllFile,Clear the whole history? (your work files are not touched — you only lose the ability to go back)
ui.histOry.clearHistoryDone,History cleared
ui.histOry.copyIn,Copied in
ui.histOry.doFileFile,"This will undo {0} {0|action|actions} and touch {1} {1|file|files}
"
ui.histOry.dot,Already at this point
ui.histOry.file, files
ui.histOry.fileOverwriteDotBack,Files overwritten after that point will go back to how they were — this cannot be undone again
ui.histOry.historyNoteOnlyChange,"The history records only ""changes written to files"" — for unsaved typing use {sc:editor-undo} as usual "
ui.histOry.historyUndoFail,history: going back failed
ui.histOry.historyUndoNotComplete,history: going back was incomplete
ui.histOry.historyUndoOk,history: went back successfully 
ui.histOry.moveChangeName,Moved/renamed
ui.histOry.msg,Go back to here
ui.histOry.notHasChangeSave,(no saved changes yet)
ui.histOry.now,Now
ui.histOry.openProjectBeforeHas,Open a project first to have a history
ui.histOry.restoreFileAllFile,"Return every file to its state ""after this action"""
ui.histOry.settingsNotebookHistoryNot,Failed to set up the history log
ui.histOry.times,{0}/{1} {1|time|times}
ui.histOry.undo,"Go back to ""{0}""?

"
ui.histOry.undoDoneRestoreFile,Went back — restored {0} {0|file|files} · deleted {1} {1|file|files}
ui.histOry.undoFail,Going back failed: 
ui.histOry.undoNotOkPart,Going back partly failed (see the log panel for details)
ui.home.appWriteNovelScreenplay,Portable novel + screenplay writing app
ui.home.brokenNoMeta,No project file (project.khn.json)
ui.home.brokenRemove,Remove from list
ui.home.brokenTitle,Cannot open
ui.home.brokenUnreadable,Could not read the project folder
ui.home.card,Cards
ui.home.close,Close Home
ui.home.closePageFirst,Close the home page
ui.home.copyPath,Copy the folder path
ui.home.editLatest,Last modified: 
ui.home.export,Export
ui.home.exportProjectOpenFile,Export the open project as a .zip file
ui.home.homeLoadProjectFail,home: failed to load projects
ui.home.homePanelLoadFail,home-panel: failed to load
ui.home.homeReadProjectFail,home: failed to read project: 
ui.home.import,Import
ui.home.importProjectFileZip,Import a project from a .zip file
ui.home.language,Language
ui.home.msg, by 
ui.home.newProject,New Project
ui.home.newProjectFirstYours,Create your first project and start writing a novel or screenplay
ui.home.notHasProject,No projects yet
ui.home.occurErrorLoadProject,An error occurred while loading projects
ui.home.openProject,Open Project
ui.home.openProjectBeforeExport,Open a project first to export it as .zip
ui.home.pageFirst,Home
ui.home.pathCopied,Path copied
ui.home.quickChangelog,What's new
ui.home.quickScrivener,Import from Scrivener
ui.home.quickShortcuts,All keyboard shortcuts
ui.home.quickTemplate,New from template
ui.home.quickTitle,Quick start
ui.home.quitApp,Quit
ui.home.quitAppHint,Close Killian 2 (asks first if anything is unsaved)
ui.home.revealInOS,Show this folder in the file manager
ui.home.search,Search
ui.home.searchProject,Search projects…
ui.home.searchProjectNameAuthor,Search projects by name / author / file path
ui.home.settings,Settings
ui.home.settingsHint,"Language, theme, shortcuts and other settings that apply to every project"
ui.html.elActBreak,Act break
ui.html.elAction,Action
ui.html.elCharacter,Character
ui.html.elContLeft,Continued (left)
ui.html.elContRight,Continued (right)
ui.html.elDialogue,Dialogue
ui.html.elIntercut,Intercut
ui.html.elNote,Note
ui.html.elPageBreak,— Page break (---)
ui.html.elParenthetical,Parenthetical
ui.html.elScene,Scene heading
ui.html.elShot,Shot
ui.html.elSubheader,Subheader
ui.html.elTransition,Transition out (right)
ui.html.elTransitionIn,Transition in (left)
ui.html.findClose,Close the find bar
ui.html.saveProjBtn,Save project
ui.html.searchProjBtn,Search whole project
ui.html.spViewSelect,Page view
ui.html.tbAi,AI tools — expand · summarize · rewrite
ui.html.tbAiAnalyzer,AI analysis — pacing · characters · repeated words
ui.html.tbAiChat,AI writing assistant (press again to close)
ui.html.tbAiGroup,AI tools (menu)
ui.html.tbAiHub,AI Hub — one door into every AI feature
ui.html.tbAlignCenter,Align centre
ui.html.tbAlignJustify,Justify
ui.html.tbAlignLeft,Align left
ui.html.tbAlignRight,Align right
ui.html.tbBold,Bold
ui.html.tbBooks,Book manager
ui.html.tbBranch,Branching map
ui.html.tbCase,Change the case of the selected text
ui.html.tbChapters,Chapter manager
ui.html.tbClose,Close tab
ui.html.tbCloseAll,Close every tab
ui.html.tbCodex,"Codex — every Wiki entry in one book, exportable as a website"
ui.html.tbColor,Text colour
ui.html.tbComments,Comments
ui.html.tbDashboard,Dashboard — statistics and progress
ui.html.tbDialogue,Dialogue across the whole work
ui.html.tbDlgb,Rehearsal room — let AI play your characters and talk
ui.html.tbFind,Find in document
ui.html.tbFloorplan,Floor plan
ui.html.tbFocus,Focus mode
ui.html.tbGallery,Image library
ui.html.tbGalleryBoard,Mood board
ui.html.tbGsearch,Search the whole project
ui.html.tbH2,Heading 2
ui.html.tbH3,Heading 3
ui.html.tbH4,Heading 4
ui.html.tbHighlight,Highlight colour
ui.html.tbHistory,Work history — roll back to any point
ui.html.tbImg,Insert image
ui.html.tbIndent,Automatic first-line indent
ui.html.tbItalic,Italic
ui.html.tbKanban,Kanban by status (press again to close)
ui.html.tbLinenum,Show line numbers
ui.html.tbLog,Save log
ui.html.tbMaps,Maps
ui.html.tbMdCodes,Hide line prefix codes (. @ > $shot # …)
ui.html.tbMode,Switch document mode: prose ↔ screenplay
ui.html.tbModeText,Prose ▾
ui.html.tbNetwork,Story network
ui.html.tbNote,Quick note — catch the thought before it goes
ui.html.tbNotesPanel,Quick notebook
ui.html.tbOl,Numbered list
ui.html.tbOutlinePanel,Outline
ui.html.tbPanels,Manage panels
ui.html.tbPlanner,Planner board
ui.html.tbPlayer,Play through
ui.html.tbPlug,Commands from plugins
ui.html.tbPlugins,Plugins
ui.html.tbPropsPanel,Properties
ui.html.tbQuickopen,Quick open a file
ui.html.tbQuote,Block quote
ui.html.tbRead,Reading mode (full screen)
ui.html.tbRecord,"Daily journal — what you did today, exportable as CSV"
ui.html.tbRedo,Redo
ui.html.tbSearchPanel,Search
ui.html.tbSettings,Settings
ui.html.tbSideBottom,Hide/show bottom panels
ui.html.tbSideLeft,Hide/show left panels
ui.html.tbSideRight,Hide/show right panels
ui.html.tbSideTop,Hide/show top panels
ui.html.tbSource,View the raw Markdown of this scene
ui.html.tbSpCont,Automatic continuation text — (CONTINUED) · CONTINUED: · (MORE) · NAME (cont'd)
ui.html.tbSpExt,Character name extension (V.O. / O.S. / cont'd)
ui.html.tbSplit,Split view
ui.html.tbStarter,Story Starter — set a story up and play it out with AI
ui.html.tbStrike,Strikethrough
ui.html.tbStyle,Text style
ui.html.tbSub,Subscript
ui.html.tbSup,Superscript
ui.html.tbTimeline,Timeline
ui.html.tbTreePanel,Project explorer
ui.html.tbTypewriter,Typewriter mode
ui.html.tbUl,Bullet list
ui.html.tbUnderline,Underline
ui.html.tbUndo,Undo
ui.html.tbVisual,Visual telling — the storyboard for this scene
ui.html.winClose,Close
ui.html.winMax,Maximise
ui.html.winMin,Minimise
ui.html.zoomCtl,Zoom the page (Ctrl + mouse wheel)
ui.html.zoomIn,Zoom in
ui.html.zoomOut,Zoom out
ui.html.zoomReset,Reset zoom
ui.imgmenu.askWidth,Image width as a percentage of the page width (1-100)
ui.imgmenu.badWidth,Width must be a number between 1 and 100
ui.imgmenu.fitPage,Full page (image fills the whole page)
ui.imgmenu.head,Image
ui.imgmenu.normal,Normal size
ui.imgmenu.radius0,Corners: square
ui.imgmenu.radius16,Corners: 16 px
ui.imgmenu.radius24,Corners: 24 px
ui.imgmenu.radius4,Corners: 4 px
ui.imgmenu.radius8,Corners: 8 px (default)
ui.imgmenu.remove,Remove this image
ui.imgmenu.widthCustom,Width… (custom)
ui.imgmenu.widthPct,Width {0}%
ui.imp.chaptersF,Chapters: {0}  ·  Scenes: {1}
ui.imp.failed,Import failed: 
ui.imp.filesToCreate,Files to create: 
ui.imp.overwrite,The destination folder already has a project — overwrite?
ui.imp.projectName,Project name: 
ui.imp.scenes,   ·  Scenes: 
ui.imp.untitled,(untitled)
ui.imp.warnPrefixF,Warnings: {0} {0|item|items} (see Log)
ui.imp.working,Importing…
ui.impOrt.busyReadProjectScrivener,Reading the Scrivener project…
ui.impOrt.importDoneFile,"Import finished, {0} {0|file|files} → {1}"
ui.impOrt.importFile,Importing {0}/{1} {1|file|files}…
ui.impOrt.pickFolderToDone,"

Choose the destination folder and import now?"
ui.impOrt.scrivenerImportHasWord,scrivener import: has warnings
ui.impOrt.scrivenerImportOk,scrivener import succeeded
ui.impOrtScrivener.cantPickFolderTo,No destination folder chosen yet
ui.impOrtScrivener.mustSendIoAdapter,An io adapter must be passed in
ui.impOrtScrivener.notFoundBody,"Content of ""{0}"" not found ({1})"
ui.impOrtScrivener.notFoundFileScrivx,No .scrivx file in this folder (point to the .scriv folder)
ui.impOrtScrivener.notHasChapter,(no chapter)
ui.impOrtScrivener.readOutlineBinderCant,Cannot read the binder structure (the file may be damaged)
ui.importSp.asNewScene,Create as a new scene
ui.importSp.countWord,Word count: 
ui.importSp.dialogueF,Dialogue: {0}    Action: {1}
ui.importSp.file,File: 
ui.importSp.import,Import from: 
ui.importSp.importNotOk,Import failed: 
ui.importSp.notFoundFileHTML,No HTML file in the .celtx — it may be an older Celtx that stores plain XML
ui.importSp.notKnownFormatFile,Unknown file format: 
ui.importSp.previewEmpty,No script content was found in this file
ui.importSp.previewTitle,Import preview
ui.importSp.readFileNotOk,Could not read the file: 
ui.importSp.replaceTab,Replace the open tab
ui.importSp.xMLNotValid,Invalid XML: 
ui.kanban.add,+ Add column
ui.kanban.addStatus,Add status
ui.kanban.addStatusHint,A new column is a new scene status for the whole project (shows in the Explorer right away)
ui.kanban.deleteColumn,Delete column
ui.kanban.deleteMove,"Delete status ""{0}""? The {1} {1|scene|scenes} in this column {1|moves|move} to ""{2}"""
ui.kanban.draftPick,Choose which draft the board shows
ui.kanban.hiddenBuiltin, (hidden from the board)
ui.kanban.manageStatus,Manage statuses
ui.kanban.moveScenesFirst,Move the scenes out of this column first
ui.kanban.newColumn,New column name
ui.kanban.newColumnHint,e.g. Needs review
ui.kanban.newDraftBeforeUse,Create a draft first to use Kanban
ui.kanban.restoreStatus,Show again
ui.kanban.sceneNotFound,Scene file not found: 
ui.kanban.statusExists,A status with this name already exists
ui.kanban.unset,Not set
ui.layoutSplit.fieldEmpty,Empty slot
ui.layoutSplit.leftRight,Left-right
ui.layoutSplit.topBottom,Top-bottom
ui.locations,locations
ui.log.dayEmpty,That day's log file is empty or can't be read
ui.log.dayOption,{0} · {1} KB
ui.log.dayPick,Review past logs — pick a day's log file
ui.log.dayReadonly,Viewing the log file of {0} (read-only)
ui.log.daySession,This session (live)
ui.log.dup,[loop]
ui.log.dupTimes,  (repeated {0} {0|time|times})
ui.log.error,Error
ui.log.folderLabel,Stored in
ui.log.folderTip,The folder that holds the log files (one file per day)
ui.log.msg,Warning
ui.logline.compassHead,Story compass (the author's logline — use it to keep the story on its spine)
ui.logline.compassRule,"Keep suggestions and prose consistent with this compass. If the content drifts from the goal, obstacle or stakes, briefly tell the author."
ui.logline.goal,Goal (Want)
ui.logline.hGoal,What they concretely want
ui.logline.hInciting,What event ends their old normal
ui.logline.hLogline,"When [incident], [hero] must [goal] before [stakes]"
ui.logline.hObstacle,Who or what stands in the way
ui.logline.hProtagonist,Who — the flaw or edge that makes them worth following
ui.logline.hStakes,What is lost if they fail
ui.logline.inciting,Inciting incident (When)
ui.logline.logline,Logline (one sentence)
ui.logline.obstacle,Antagonist / Obstacle
ui.logline.protagonist,Protagonist (Who)
ui.logline.saved,Logline saved
ui.logline.stakes,Stakes
ui.logline.title,Logline
ui.logline.why,AI uses this as a compass so the story stays on track
ui.mapAi.aroundHead,Around it (nearest first):
ui.mapAi.cut,(The rest was cut for length — use the map.where command to ask about one name)
ui.mapAi.head,## Map positions (from the author's Maps panel)
ui.mapAi.inZone,in {0}
ui.mapAi.isOn,"""{0}"" is on map ""{1}"""
ui.mapAi.map,"### Map ""{0}"""
ui.mapAi.mapIn,"### Map ""{0}"" (inside map ""{1}"")"
ui.mapAi.nearHead,Closest neighbours:
ui.mapAi.noScale,(No scale set yet — distances are relative and only tell which is nearer or farther)
ui.mapAi.notOnMap,"""{0}"" is not pinned or zoned on any map yet"
ui.mapAi.relDist,relative distance {0}
ui.mapAi.zoneArea,Zone area: {0}
ui.mapAi.zoneOn,"""{0}"" is a zone on map ""{1}"""
ui.mapAi.zones,Zones: {0}
ui.maps.addMap,+ Add map
ui.maps.allMaps,All maps
ui.maps.allMapsTip,Back to the map gallery
ui.maps.backSizeFitFrame,Back to fit-to-frame size (100%)
ui.maps.busyNextRouteClick,Extending route “{0}” — click the pins in travel order ({1} {1|point|points})
ui.maps.cancelPick,Deselect
ui.maps.cancelPickTip,Deselect all pins
ui.maps.cantPickPin,No pin selected yet
ui.maps.catEgWorldCurrent,Category (e.g. Present world)
ui.maps.catMapSkipEmpty,Map category — optional
ui.maps.changeImage,Change image
ui.maps.changeImageTip,Change this map's image (pick from the gallery)
ui.maps.changeNameRoute,Rename route
ui.maps.clickEmptyPinPinF,Drag = pan · wheel = zoom · double-click = drop a pin · {0} · Ctrl+click a pin = jump (portal/Wiki page) · Shift+drag = box select · drag characters in from the left bar
ui.maps.clickPinOpenDialog,Click a pin = open the pin editor
ui.maps.clickPinOpenLink,Click a pin = follow its link (portal/Wiki page) · edits nothing
ui.maps.collapsePin,Smaller pins
ui.maps.compass,Compass
ui.maps.compassTip,Show/hide the compass (follows the north you set)
ui.maps.copy,⧉ Copy
ui.maps.copyPinDoneOpen,"Copied {0} {0|pin|pins} — open the destination map and press ""Paste"""
ui.maps.copyPinPickDone,Copy the selected pins to paste onto another map
ui.maps.countFieldGridNext,Grid cells per side
ui.maps.ctxAddPin,Place a pin here
ui.maps.ctxCopyCoords,Copy coordinates
ui.maps.delMap,Delete map
ui.maps.delMapTip,Delete this map (the image file is kept)
ui.maps.delPick,Delete selected
ui.maps.delPickTip,Delete all selected pins
ui.maps.delPinDone,Deleted {0} {0|pin|pins}
ui.maps.delPinPickItem,Delete the {0} selected {0|pin|pins}?
ui.maps.delRoutePin,Delete route (pins stay)
ui.maps.delRoutePinNot,Delete route “{0}”? (pins are not deleted)
ui.maps.done,Done
ui.maps.dotGap,{0} {0|point|points} · distance ~{1}
ui.maps.dotLatest,Undo last point
ui.maps.dotLatestTip,Remove the last point
ui.maps.dragPinMoveMode,"Drag pins to move them (other modes can't drag, to avoid accidental moves)"
ui.maps.dropImageFromGallery,Only images in the project's gallery (the Images folder) can be used — drag one from the gallery or the Explorer's images
ui.maps.dropPortalDone,"Added a portal to ""{0}"" — Ctrl+click it to go in"
ui.maps.dropReplaceImage,This map already has an image — replace it with the dropped one?
ui.maps.dropSceneDone,"Scene ""{0}"" is now placed on ""{1}"""
ui.maps.dropSelfMap,A map can't contain itself
ui.maps.entDragHint,Drag the name onto the map to pin it (or right-click → place at the center)
ui.maps.entGoPins,Go to its pins
ui.maps.entMoved,"Moved the pin of ""{0}"""
ui.maps.entNotPlacedAny,Not on any map yet — open a map and drag the name onto it
ui.maps.entOpenWiki,Open the Wiki page
ui.maps.entPlaceCenter,Place at the map center
ui.maps.entPlaced,On this map
ui.maps.entPlacedStatus,"Pinned ""{0}"""
ui.maps.entRowTip,Drag onto the map = pin · click = go to its pin · double-click/Ctrl+click = open Wiki · right-click = draw a zone
ui.maps.entRowTipGallery,Click = go to the map it's on · double-click = open Wiki
ui.maps.entZoned,Has a zone
ui.maps.expandPin,Larger pins
ui.maps.foundPinTopMap,"""{0}"" — found {1} {1|pin|pins} on this map"
ui.maps.galleryCardTip,Click to open the map · drag onto another map = portal to this one
ui.maps.galleryHint,Pick a map to open it — drag characters/places from the left bar onto a map
ui.maps.galleryNew,New map
ui.maps.galleryNewTip,Create a map from a gallery image (or drop an image on this card)
ui.maps.galleryOpen,Open map
ui.maps.gapBarEg,"Distance of the bar, e.g. 100 km"
ui.maps.geoAskLatLon,"Latitude, longitude of this point"
ui.maps.geoAskLatLonPh,"e.g. 51.5074, -0.1278"
ui.maps.geoAskMeters,"Real distance between the two points (units allowed: m, km, mi)"
ui.maps.geoAskMetersPh,e.g. 100 or 5 km
ui.maps.geoBadLatLon,"Invalid coordinates — type latitude, longitude, e.g. 13.75, 100.50"
ui.maps.geoBadNumber,The distance must be a number above 0
ui.maps.geoBtn,Coordinates/scale
ui.maps.geoBtnTip,"Set the scale and real coordinates — the map can then show distances, travel times, areas and lat/long"
ui.maps.geoBtnTipDone,Georeferenced — click to edit
ui.maps.geoClear,Clear
ui.maps.geoClearQ,Clear this map's scale and coordinates?
ui.maps.geoClearTip,Remove the scale and reference point
ui.maps.geoIntro,"Two steps: (1) tell the real length of one line on the image — if it has a scale bar (0 · 50 · 100 m) click both ends of it, otherwise click two points you know the distance between; (2) click a point and give its latitude/longitude"
ui.maps.geojson,GeoJSON
ui.maps.geojsonDone,GeoJSON exported: {0}
ui.maps.geojsonTip,Export pins/zones/routes as GeoJSON (usable in other map tools once georeferenced)
ui.maps.geoNorthDesc,Degrees north is rotated from the top of the image (clockwise · 0 = north is up)
ui.maps.geoNorthTip,North rotation in degrees
ui.maps.geoOutside,Those coordinates are outside the map image
ui.maps.geoPickA,Click the start of the scale (e.g. the 0 on the scale bar) — Esc = cancel
ui.maps.geoPickB,Click the end of the scale (e.g. the 100 m mark) — Esc = cancel
ui.maps.geoPickRef,Pick the reference point
ui.maps.geoPickRefHint,Click a point whose latitude/longitude you know (a pin works too) — Esc = cancel
ui.maps.geoPickRefTip,"Pick a point on the map, then enter its latitude/longitude"
ui.maps.geoPickScale,Pick the scale
ui.maps.geoPickScaleTip,"Click two points on the map, then give the real distance between them"
ui.maps.geoPinByCoord,Pin by coordinates
ui.maps.geoPinByCoordBtn,Enter lat/long…
ui.maps.geoPinByCoordTip,Type a latitude/longitude and drop a pin there
ui.maps.geoRedo,Redo
ui.maps.geoRefDesc,No reference point yet — set the scale first
ui.maps.geoRefSaved,Reference point saved
ui.maps.geoScaleDesc,Not set — distances on this map are only % of the image
ui.maps.geoScaleNow,Reference line is {0}
ui.maps.geoScaleSaved,Scale saved — map distances are now real units
ui.maps.geoStepNorth,North
ui.maps.geoStepRef,Latitude/longitude reference
ui.maps.geoStepScale,Scale
ui.maps.geoTitle,Map coordinates
ui.maps.gridTip,Show/hide the grid
ui.maps.journey,Story path
ui.maps.journeyTip,Draw a path through scene locations in story-time order — see how far characters travel
ui.maps.journeyTotal,Total {0} · {1}
ui.maps.legFrom,"From ""{0}"": {1} · {2}"
ui.maps.lineLineSolid,Dashed / solid line
ui.maps.mapBindDelDone,(the linked map has been deleted)
ui.maps.mapsExportPNGNot,maps: PNG export failed
ui.maps.mapsPrintMapNot,maps: map printing failed
ui.maps.mapsReadImagePortrait,maps: cannot read the entity's portrait
ui.maps.mapsReadScenePin,maps: cannot read the pinned scenes
ui.maps.measure,Measure
ui.maps.measureFromPin,Measure from this pin
ui.maps.measureNeedScale,Set the scale to get real distances
ui.maps.measureStart,Measure from here
ui.maps.measureTip,Click point by point to measure distance and travel time (Esc = done)
ui.maps.measuring,Measuring: {0} {0|point|points} · {1}
ui.maps.modeMovePosDrag,Move mode — drag pins to move them
ui.maps.nameRoute,Route name
ui.maps.nextDot,Add points
ui.maps.nextDotTip,Click pins on the map to extend this route
ui.maps.notFoundMapScene,The map this scene is linked to was not found (it may have been deleted)
ui.maps.notHasImagePress,"No image yet — press ""Change image"""
ui.maps.notPlaced,Not placed yet
ui.maps.notPlannedPressAdd,"No maps yet — press ""＋ Add map"" and choose an image from the image library as the map (e.g. a world/city map or a room plan)"
ui.maps.part,Scale
ui.maps.pastePin,Paste {0} {0|pin|pins}
ui.maps.pastePinCopyMap,Paste the copied pins onto this map
ui.maps.pastePinDone,"Pasted {0} {0|pin|pins} onto ""{1}"""
ui.maps.pickPin,{0} {0|pin|pins} selected
ui.maps.pin, · manually pinned coordinates
ui.maps.pinEdit,Edit pin…
ui.maps.placeIt,Place it
ui.maps.placeItHint,"Open the Floor Plan panel and click ""Place this scene"""
ui.maps.portalEnter,Enter the sub-map
ui.maps.portalMapOther,Portal to another map
ui.maps.portalSceneBindMap,{0} {0|entity|entities} · {1} {1|portal|portals} · {2} {2|note|notes} · {3} {3|scene|scenes} linked to this map
ui.maps.portalTip,"Portal to ""{0}"" — Ctrl+click to go in"
ui.maps.pos,Entity position
ui.maps.pressBtnEditTop," · press ""Edit"" on the toolbar to edit this pin"
ui.maps.print,Print
ui.maps.printMapNotOk,Map printing failed: 
ui.maps.printTip,"Print the map with pins, zones and routes"
ui.maps.recolorLine,Change line colour
ui.maps.route,Route 
ui.maps.route2,Routes
ui.maps.route3,Routes ({0})
ui.maps.routeDragLineLink,"Route = a line joining pins in order, to tell a character's journey — press ""＋ New route"" then click the pins one by one"
ui.maps.routeNew,New route
ui.maps.routeNew2,+ New route
ui.maps.routeNewTip,"Create a route, then click pins to add points"
ui.maps.saveMapLibraryImage,Saved the map to the image library: 
ui.maps.saveMapReadyPin,Save the map with its pins/routes as an image in the image library
ui.maps.scaleTip,Show/hide the scale bar (once georeferenced it shows real distance)
ui.maps.scenePin, ({0} {0|scene|scenes} pinned manually)
ui.maps.scenePinCantBind,"
(scenes pinned manually, not linked to a pin)"
ui.maps.sceneWhere,Location on map
ui.maps.searchPinName,Search pins (name/note)
ui.maps.setGapField,(set the distance in the box next to the ruler button)
ui.maps.showHideLabelUnder,Show/hide the labels under pins
ui.maps.showHideRouteBetween,Show/hide routes between pins
ui.maps.showItemFilm,Show text
ui.maps.showOnMap,Show on map
ui.maps.showOnMapHint,Open the Maps panel and scroll to this scene's location
ui.maps.sideChildTip,Open this sub-map
